OID_,Join_Count,LILATracts,LILATrac_1,LILATrac_2,LILATrac_3,MedianFami,TractHUNV,TractSNAP,FIPS,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,RPL_THEMES,OBESITY_CrudePrev,Shape_Length,Shape_Area
1,1,0,0,0,0,1.9,53,33,6037544002,0.629,0.5361,0.7702,0.3603,0.5962,25.24,0.007524911,2.31388E-08
2,1,0,1,0,0,17.9,44,198,6037294110,0.8269,0.7955,0.7627,0.4038,0.7449,29.2,0.061000425,9.47664E-05
3,4,0,0,0,0,15.9,97,120,6037139502,0.5486,0.1597,0.3045,0.2581,0.3213,21.1,0.075778709,0.000101276
4,3,0,0,0,0,23.4,236,70,6037139502,0.5486,0.1597,0.3045,0.2581,0.3213,21.1,0.075778709,0.000101276
5,4,0,0,0,0,17.4,271,65,6037139303,0.5091,0.2895,0.4418,0.8585,0.5834,23.7,0.037178962,4.06209E-05
6,4,0,0,0,0,6.7,79,61,6037137103,0.1212,0.3109,0.2973,0.5761,0.2817,19.1,0.058048628,7.4603E-05
7,6,0,0,0,0,7.2,34,44,6037134904,0.4993,0.3361,0.6595,0.9462,0.6841,25.1,0.048895604,0.000101563
8,3,0,0,0,0,23.8,167,61,6037134520,0.7011,0.5918,0.8723,0.9921,0.9184,26.9,0.081114946,9.4596E-05
9,2,0,0,0,0,5.3,68,16,6037101300,0.4081,0.3298,0.2061,0.491,0.3574,21.9,0.086514599,0.00025123
10,5,0,0,0,0,19.2,559,108,6037134903,0.5196,0.032,0.6861,0.4878,0.3947,23.1,0.054355409,5.52943E-05
11,5,0,0,0,0,7.1,105,47,6037134905,0.3148,0.0533,0.38,0.4086,0.234,20.4,0.115531198,0.000253134
12,3,0,0,0,0,12.1,115,46,6037134903,0.5196,0.032,0.6861,0.4878,0.3947,23.1,0.054355409,5.52943E-05
13,4,0,0,0,0,17.5,137,133,6037134001,0.7188,0.2958,0.9028,0.4716,0.6621,28.7,0.06090212,5.70147E-05
14,4,0,1,0,0,19.1,127,110,6037131701,0.7467,0.6595,0.6353,0.6857,0.7317,25,0.03224306,6.4522E-05
15,4,0,0,0,0,11.1,168,133,6037128801,0.3447,0.1217,0.4021,0.2539,0.2385,21.6,0.028837779,4.72613E-05
16,4,0,0,0,0,39.1,165,74,6037127711,0.6939,0.1089,0.5941,0.3155,0.4651,26.3,0.042423311,9.25661E-05
17,3,0,1,0,0,21.5,156,101,6037127606,0.6135,0.664,0.7236,0.492,0.6429,26.5,0.029227933,5.32282E-05
18,3,0,1,0,1,26.6,229,59,6037127603,0.9179,0.7482,0.8309,0.7495,0.8942,30.6,0.037914691,4.23704E-05
19,3,0,0,0,0,27.5,214,105,6037124000,0.4082,0.6936,0.2108,0.2746,0.3508,20.1,0.060758286,0.000131544
